id,name,age,job,location,originalRole,roundStates
0,Aisha Birley,23,Masters Graduate,"Manchester,England",Faithful,"[{""episode"":2,""status"":""Murdered"",""role"":""Faithful""}]"
1,Nicky Wilding,45,Accounts supervisor,"South Croydon,England",Faithful,"[{""episode"":2,""status"":""Banished"",""role"":""Faithful""}]"
2,Claire Barratt,43,Ex-police officer & entrepreneur,"Hull,England",Faithful,"[{""episode"":3,""status"":""Murdered"",""role"":""Faithful""}]"
3,Imran Nasim,23,Scientist,"Burgess Hill,England",Faithful,"[{""episode"":3,""status"":""Banished"",""role"":""Faithful""}]"
4,Ivan Brett,32,Author,"Polruan,England",Faithful,"[{""episode"":4,""status"":""Banished"",""role"":""Faithful""}]"
5,John McManus,49,Spa therapist,"Edinburgh,Scotland",Faithful,"[{""episode"":5,""status"":""Murdered"",""role"":""Faithful""}]"
6,Tom Elderfield,24,Magician,"Chesham,England",Faithful,"[{""episode"":5,""status"":""Banished"",""role"":""Faithful""}]"
7,Matt Harris,23,BMX Athlete,"Melbourn,England",Faithful,"[{""episode"":6,""status"":""Murdered"",""role"":""Faithful""}]"
8,Alyssa Chan,21,Business student,"Cork,Ireland",Traitor,"[{""episode"":6,""status"":""Banished"",""role"":""Traitor""}]"
9,Rayan Rachedi,25,Trainee lawyer,"North London,England",Faithful,"[{""episode"":7,""status"":""Banished"",""role"":""Faithful""}]"
10,Alex Gray,26,Presenter & actress,"London,England",Faithful,"[{""episode"":8,""status"":""Murdered"",""role"":""Faithful""}]"
11,Amos Ogunkoya,30,Doctor,"North London,England",Faithful,"[{""episode"":9,""status"":""Murdered"",""role"":""Faithful""}]"
12,Theo Mayne,26,Cheerleading coach,"Leeds,England",Faithful,"[{""episode"":9,""status"":""Banished"",""role"":""Faithful""}]"
13,Fay Greaves,59,Head of School Welfare,"Bury St Edmunds,England",Faithful,"[{""episode"":10,""status"":""Murdered"",""role"":""Faithful""}]"
14,Amanda Lovett,54,Estate agent,"Swansea,Wales",Traitor,"[{""episode"":10,""status"":""Banished"",""role"":""Traitor""}]"
15,Andrea Addison,72,Retired,"Brussels, Belgium",Faithful,"[{""episode"":11,""status"":""Murdered"",""role"":""Faithful""}]"
16,"Madelyn ""Maddy"" Smedley",29,Receptionist & actress,"Swanley,England",Faithful,"[{""episode"":11,""status"":""Banished"",""role"":""Faithful""}]"
17,Kieran Tompsett,42,Solutions consultant,"Stevenage,England",Traitor,"[{""episode"":12,""status"":""Banished"",""role"":""Traitor""}]"
18,"Wilfred ""Wilf"" Webster",28,Senior fundraiser,"North London,England",Traitor,"[{""episode"":12,""status"":""Banished"",""role"":""Traitor""}]"
19,Aaron Evans,24,Property agent,"Portsmouth,England",Faithful,"[{""episode"":12,""status"":""Winner"",""role"":""Faithful""}]"
20,Hannah Byczkowski,32,Comedian,"London,England",Faithful,"[{""episode"":12,""status"":""Winner"",""role"":""Faithful""}]"
21,Meryl Williams,25,Call centre agent,"Edinburgh,Scotland",Faithful,"[{""episode"":12,""status"":""Winner"",""role"":""Faithful""}]"
